strategy,count,delta,kappa,sim,seed
IL,13.9384,0.03,0.4,294,50
MF,106.0616,0.03,0.4,294,50
IL,94.2092,0.8,0.4,295,43
MF,25.7908,0.8,0.4,295,43
IL,22.1316,0.03,0.4,296,44
MF,97.8684,0.03,0.4,296,44
IL,90.3748,0.8,0.4,297,42
MF,29.6252,0.8,0.4,297,42
IL,17.736,0.03,0.4,298,45
MF,102.264,0.03,0.4,298,45
IL,11.9052,0.03,0.4,299,51
MF,108.0948,0.03,0.4,299,51
IL,74.5632,0.73,0.4,300,46
MF,45.4368,0.73,0.4,300,46
IL,69.7828,0.5,0.4,301,48
MF,50.2172,0.5,0.4,301,48
IL,47.1364,0.41,0.4,302,50
MF,72.8636,0.41,0.4,302,50
IL,46.834,0.31,0.4,303,47
MF,73.166,0.31,0.4,303,47
IL,61.0752,0.41,0.4,304,44
MF,58.9248,0.41,0.4,304,44
IL,112.6108,0.99,0.4,305,44
MF,7.3892,0.99,0.4,305,44
IL,16.7912,0.17,0.4,306,42
MF,103.2088,0.17,0.4,306,42
IL,110.4464,0.99,0.4,307,50
MF,9.5536,0.99,0.4,307,50
IL,54.3684,0.36,0.4,308,49
MF,65.6316,0.36,0.4,308,49
IL,27.8688,0.2,0.4,309,46
MF,92.1312,0.2,0.4,309,46
IL,99.7932,0.74,0.4,310,48
MF,20.2068,0.74,0.4,310,48
IL,72.9692,0.55,0.4,311,43
MF,47.0308,0.55,0.4,311,43
IL,94.7544,0.79,0.4,312,42
MF,25.2456,0.79,0.4,312,42
IL,76.7188,0.58,0.4,313,49
MF,43.2812,0.58,0.4,313,49
IL,101.4288,0.87,0.4,314,47
MF,18.5712,0.87,0.4,314,47
IL,102.4116,0.91,0.4,315,47
MF,17.5884,0.91,0.4,315,47
IL,83.7156,0.62,0.4,316,48
MF,36.2844,0.62,0.4,316,48
IL,74.6352,0.43,0.4,317,43
MF,45.3648,0.43,0.4,317,43
IL,10.334539605950946,0.01,0.4,318,42
MF,109.7192,0.01,0.4,318,42
IL,79.1184,0.57,0.4,319,44
MF,40.8816,0.57,0.4,319,44
IL,29.8904,0.27,0.4,320,47
MF,90.1096,0.27,0.4,320,47
IL,85.5496,0.57,0.4,321,50
MF,34.4504,0.57,0.4,321,50
IL,66.7676,0.39,0.4,322,44
MF,53.2324,0.39,0.4,322,44
IL,84.7884,0.65,0.4,323,46
MF,35.2116,0.65,0.4,323,46
IL,38.2496,0.15,0.4,324,51
MF,81.7504,0.15,0.4,324,51
IL,68.5984,0.49,0.4,325,47
MF,51.4016,0.49,0.4,325,47
IL,27.9732,0.15,0.4,326,45
MF,92.0268,0.15,0.4,326,45
IL,59.68,0.39,0.4,327,50
MF,60.32,0.39,0.4,327,50
IL,108.6348,0.96,0.4,328,49
MF,11.397111913357401,0.96,0.4,328,49
IL,63.42,0.49,0.4,329,51
MF,56.58,0.49,0.4,329,51
IL,93.0664,0.65,0.4,330,44
MF,26.9336,0.65,0.4,330,44
IL,57.8372,0.39,0.4,331,46
MF,62.1628,0.39,0.4,331,46
IL,88.5832,0.65,0.4,332,50
MF,31.4168,0.65,0.4,332,50
IL,26.5428,0.15,0.4,333,47
MF,93.4572,0.15,0.4,333,47
IL,94.9912,0.49,0.4,334,45
MF,25.0088,0.49,0.4,334,45
IL,10.034,0.0,0.4,335,43
MF,109.966,0.0,0.4,335,43
IL,45.108,0.27,0.4,336,51
MF,74.892,0.27,0.4,336,51
IL,87.4864,0.88,0.4,337,48
MF,32.5136,0.88,0.4,337,48
IL,67.3516,0.57,0.4,338,46
