strategy,count,delta,lambda,kappa,sim,seed
MB,47.6348,0.89,0.3,0.4,193,45
MF,16.2052,0.89,0.3,0.4,193,45
IL,5.2919678714859435,0.0,0.3,0.4,194,45
MB,8.5296,0.0,0.3,0.4,194,45
MF,106.1996,0.0,0.3,0.4,194,45
IL,17.3216,0.2,0.1,0.4,195,48
MB,42.2128,0.2,0.1,0.4,195,48
MF,60.4656,0.2,0.1,0.4,195,48
IL,12.83,0.85,0.1,0.4,196,50
MB,99.2652,0.85,0.1,0.4,196,50
MF,7.9048,0.85,0.1,0.4,196,50
IL,37.316,0.75,0.3,0.4,197,51
MB,63.828,0.75,0.3,0.4,197,51
MF,18.856,0.75,0.3,0.4,197,51
IL,47.6,0.87,0.3,0.4,198,49
MB,43.664,0.87,0.3,0.4,198,49
MF,28.736,0.87,0.3,0.4,198,49
IL,66.8748,0.75,0.3,0.4,199,45
MB,38.042,0.75,0.3,0.4,199,45
MF,15.0832,0.75,0.3,0.4,199,45
IL,52.9476,0.51,0.3,0.4,200,43
MB,33.2724,0.51,0.3,0.4,200,43
MF,33.78,0.51,0.3,0.4,200,43
IL,15.2708,0.77,0.1,0.4,201,48
MB,100.322,0.77,0.1,0.4,201,48
MF,4.587010824313072,0.77,0.1,0.4,201,48
IL,11.043407043407043,0.85,0.1,0.4,202,44
MB,99.7968,0.85,0.1,0.4,202,44
MF,9.416,0.85,0.1,0.4,202,44
IL,20.564,0.78,0.2,0.4,203,45
MB,92.9232,0.78,0.2,0.4,203,45
MF,6.5128,0.78,0.2,0.4,203,45
IL,21.232,0.3,0.2,0.4,204,49
MB,29.3656,0.3,0.2,0.4,204,49
MF,69.4024,0.3,0.2,0.4,204,49
IL,23.6588,0.78,0.2,0.4,205,51
MB,83.6232,0.78,0.2,0.4,205,51
MF,12.718,0.78,0.2,0.4,205,51
IL,47.9988,0.84,0.2,0.4,206,45
MB,58.8556,0.84,0.2,0.4,206,45
MF,13.1456,0.84,0.2,0.4,206,45
IL,15.4024,0.76,0.2,0.4,207,49
MB,77.514,0.76,0.2,0.4,207,49
MF,27.0836,0.76,0.2,0.4,207,49
IL,33.6268,0.46,0.3,0.4,208,47
MB,36.2624,0.46,0.3,0.4,208,47
MF,50.1108,0.46,0.3,0.4,208,47
IL,31.0396,0.84,0.2,0.4,209,51
MB,61.8236,0.84,0.2,0.4,209,51
MF,27.1368,0.84,0.2,0.4,209,51
IL,9.6736,0.07,0.2,0.4,210,49
MB,30.9356,0.07,0.2,0.4,210,49
MF,79.3908,0.07,0.2,0.4,210,49
IL,39.808,0.37,0.3,0.4,211,47
MB,26.982,0.37,0.3,0.4,211,47
MF,53.21,0.37,0.3,0.4,211,47
IL,30.006,0.4,0.3,0.4,212,47
MB,15.686,0.4,0.3,0.4,212,47
MF,74.308,0.4,0.3,0.4,212,47
IL,16.3588,0.09,0.2,0.4,213,51
MB,10.7616,0.09,0.2,0.4,213,51
MF,92.8796,0.09,0.2,0.4,213,51
IL,11.4376,0.8,0.1,0.4,214,46
MB,97.5192,0.8,0.1,0.4,214,46
MF,11.172804532577903,0.8,0.1,0.4,214,46
IL,36.9272,0.71,0.3,0.4,215,47
MB,70.1596,0.71,0.3,0.4,215,47
MF,12.9132,0.71,0.3,0.4,215,47
IL,13.426,0.09,0.2,0.4,216,45
MB,10.9208,0.09,0.2,0.4,216,45
MF,95.6532,0.09,0.2,0.4,216,45
IL,16.8976,0.81,0.1,0.4,217,46
MB,91.4892,0.81,0.1,0.4,217,46
MF,11.6132,0.81,0.1,0.4,217,46
IL,21.6252,0.41,0.2,0.4,218,49
MB,19.2432,0.41,0.2,0.4,218,49
MF,79.1316,0.41,0.2,0.4,218,49
IL,28.922,0.97,0.2,0.4,219,43
MB,84.2048,0.97,0.2,0.4,219,43
MF,6.8732,0.97,0.2,0.4,219,43
IL,15.4424,0.04,0.3,0.4,220,45
MB,8.6868,0.04,0.3,0.4,220,45
MF,95.8708,0.04,0.3,0.4,220,45
IL,9.1352,0.06,0.1,0.4,221,48
MB,26.7524,0.06,0.1,0.4,221,48
MF,84.1124,0.06,0.1,0.4,221,48
IL,7.51614481409002,0.04,0.3,0.4,222,51
MB,9.7056,0.04,0.3,0.4,222,51
MF,104.1492,0.04,0.3,0.4,222,51
IL,34.0612,0.9,0.2,0.4,223,47
MB,77.2772,0.9,0.2,0.4,223,47
MF,8.6616,0.9,0.2,0.4,223,47
IL,11.9872,0.96,0.1,0.4,224,42
MB,102.5672,0.96,0.1,0.4,224,42
MF,5.4456,0.96,0.1,0.4,224,42
IL,9.46,0.08,0.1,0.4,225,44
MB,43.8396,0.08,0.1,0.4,225,44
MF,66.7004,0.08,0.1,0.4,225,44
IL,38.034,0.66,0.3,0.4,226,43
MB,33.1548,0.66,0.3,0.4,226,43
MF,48.8112,0.66,0.3,0.4,226,43
IL,27.7396,0.42,0.3,0.4,227,45
MB,17.48,0.42,0.3,0.4,227,45
MF,74.7804,0.42,0.3,0.4,227,45
IL,33.9672,0.42,0.3,0.4,228,51
MB,45.6832,0.42,0.3,0.4,228,51
MF,40.3496,0.42,0.3,0.4,228,51
IL,10.7356,0.08,0.1,0.4,229,50
MB,20.1596,0.08,0.1,0.4,229,50
MF,89.1048,0.08,0.1,0.4,229,50
IL,38.4896,0.67,0.2,0.4,230,51
MB,67.576,0.67,0.2,0.4,230,51
MF,13.9344,0.67,0.2,0.4,230,51
IL,13.474,0.95,0.2,0.4,231,49
MB,101.9516,0.95,0.2,0.4,231,49
MF,5.137466307277628,0.95,0.2,0.4,231,49
IL,17.0992,0.55,0.1,0.4,232,46
MB,72.5296,0.55,0.1,0.4,232,46
MF,30.3712,0.55,0.1,0.4,232,46
IL,24.7376,0.67,0.2,0.4,233,45
MB,72.3408,0.67,0.2,0.4,233,45
MF,22.9216,0.67,0.2,0.4,233,45
IL,30.1252,0.43,0.2,0.4,234,43
MB,48.7696,0.43,0.2,0.4,234,43
MF,41.1052,0.43,0.2,0.4,234,43
IL,25.5756,0.21,0.2,0.4,235,51
MB,46.4436,0.21,0.2,0.4,235,51
MF,47.9808,0.21,0.2,0.4,235,51
IL,17.428,0.13,0.1,0.4,236,46
MB,24.6208,0.13,0.1,0.4,236,46
MF,77.9512,0.13,0.1,0.4,236,46
IL,15.5836,0.21,0.2,0.4,237,45
MB,29.202,0.21,0.2,0.4,237,45
MF,75.2144,0.21,0.2,0.4,237,45
IL,12.1196,0.05,0.2,0.4,238,43
MB,9.7672,0.05,0.2,0.4,238,43
MF,98.1132,0.05,0.2,0.4,238,43
IL,24.7368,0.69,0.2,0.4,239,49
MB,83.578,0.69,0.2,0.4,239,49
MF,11.6852,0.69,0.2,0.4,239,49
IL,54.5584,0.59,0.3,0.4,240,47
MB,29.1252,0.59,0.3,0.4,240,47
MF,36.3164,0.59,0.3,0.4,240,47
IL,14.87,0.66,0.1,0.4,241,44
MB,99.2636,0.66,0.1,0.4,241,44
MF,5.8664,0.66,0.1,0.4,241,44
IL,48.882,0.54,0.2,0.4,242,47
MB,35.1104,0.54,0.2,0.4,242,47
MF,36.0076,0.54,0.2,0.4,242,47
IL,9.5708,0.94,0.1,0.4,243,48
MB,92.9024,0.94,0.1,0.4,243,48
MF,17.5268,0.94,0.1,0.4,243,48
IL,12.6072,0.42,0.1,0.4,244,42
MB,78.4884,0.42,0.1,0.4,244,42
MF,28.9044,0.42,0.1,0.4,244,42
IL,12.687685146000847,0.08,0.3,0.4,245,43
MB,13.526,0.08,0.3,0.4,245,43
MF,94.4816,0.08,0.3,0.4,245,43
IL,61.7536,0.96,0.3,0.4,246,45
MB,53.6836,0.96,0.3,0.4,246,45
MF,4.5628,0.96,0.3,0.4,246,45
IL,53.232,0.64,0.3,0.4,247,49
MB,35.2128,0.64,0.3,0.4,247,49
MF,31.5552,0.64,0.3,0.4,247,49
IL,41.7164,0.96,0.3,0.4,248,51
MB,72.518,0.96,0.3,0.4,248,51
MF,5.8880718954248366,0.96,0.3,0.4,248,51
IL,22.4228,0.66,0.1,0.4,249,50
MB,81.6848,0.66,0.1,0.4,249,50
MF,15.8924,0.66,0.1,0.4,249,50
IL,22.1472,0.22,0.3,0.4,250,49
MB,14.4204,0.22,0.3,0.4,250,49
MF,83.4324,0.22,0.3,0.4,250,49
IL,88.1828,0.98,0.3,0.4,251,49
MB,18.9636,0.98,0.3,0.4,251,49
MF,13.142740286298569,0.98,0.3,0.4,251,49
IL,11.2736,0.68,0.1,0.4,252,48
MB,93.6468,0.68,0.1,0.4,252,48
MF,15.0796,0.68,0.1,0.4,252,48
IL,16.122,0.12,0.2,0.4,253,47
MB,23.4816,0.12,0.2,0.4,253,47
MF,80.3964,0.12,0.2,0.4,253,47
IL,6.658707286949362,0.04,0.1,0.4,254,42
MB,42.3724,0.04,0.1,0.4,254,42
MF,71.158,0.04,0.1,0.4,254,42
IL,25.1196,0.51,0.1,0.4,255,50
MB,70.0416,0.51,0.1,0.4,255,50
MF,24.8388,0.51,0.1,0.4,255,50
IL,76.3876,0.53,0.3,0.4,256,49
MB,17.6668,0.53,0.3,0.4,256,49
MF,25.9456,0.53,0.3,0.4,256,49
IL,79.0804,0.85,0.3,0.4,257,43
MB,30.7692,0.85,0.3,0.4,257,43
MF,10.1504,0.85,0.3,0.4,257,43
IL,19.73,0.75,0.1,0.4,258,42
MB,92.2172,0.75,0.1,0.4,258,42
MF,8.104669887278583,0.75,0.1,0.4,258,42
IL,25.062,0.51,0.1,0.4,259,44
MB,65.706,0.51,0.1,0.4,259,44
MF,29.232,0.51,0.1,0.4,259,44
IL,23.5696,0.63,0.2,0.4,260,47
MB,75.7244,0.63,0.2,0.4,260,47
MF,20.706,0.63,0.2,0.4,260,47
IL,12.4028,0.19,0.1,0.4,261,48
MB,72.2452,0.19,0.1,0.4,261,48
MF,35.352,0.19,0.1,0.4,261,48
IL,29.2892,0.17,0.1,0.4,262,50
MB,8.5576,0.17,0.1,0.4,262,50
MF,82.1532,0.17,0.1,0.4,262,50
IL,4.037227214377407,0.0,0.1,0.4,263,42
MB,23.8828,0.0,0.1,0.4,263,42
MF,92.3432,0.0,0.1,0.4,263,42
IL,14.7728,0.89,0.1,0.4,264,42
MB,95.4008,0.89,0.1,0.4,264,42
MF,9.8264,0.89,0.1,0.4,264,42
IL,7.9948,0.33,0.1,0.4,265,42
MB,62.6472,0.33,0.1,0.4,265,42
MF,49.358,0.33,0.1,0.4,265,42
IL,14.9964,0.17,0.1,0.4,266,44
MB,94.744,0.17,0.1,0.4,266,44
MF,10.2596,0.17,0.1,0.4,266,44
IL,21.232,0.25,0.2,0.4,267,47
MB,20.9068,0.25,0.2,0.4,267,47
MF,77.8612,0.25,0.2,0.4,267,47
IL,18.6232,0.15,0.3,0.4,268,49
MB,7.704730831973899,0.15,0.3,0.4,268,49
MF,93.82,0.15,0.3,0.4,268,49
IL,80.0216,0.79,0.3,0.4,269,43
MB,23.8536,0.79,0.3,0.4,269,43
MF,16.1248,0.79,0.3,0.4,269,43
IL,20.9052,0.18,0.2,0.4,270,49
MB,9.4012,0.18,0.2,0.4,270,49
MF,89.6936,0.18,0.2,0.4,270,49
IL,32.6244,0.74,0.2,0.4,271,43
MB,76.588,0.74,0.2,0.4,271,43
MF,10.7876,0.74,0.2,0.4,271,43
IL,28.6256,0.62,0.1,0.4,272,46
MB,52.756,0.62,0.1,0.4,272,46
MF,38.6184,0.62,0.1,0.4,272,46
IL,47.7568,0.92,0.3,0.4,273,47
MB,61.2512,0.92,0.3,0.4,273,47
MF,11.322620519159456,0.92,0.3,0.4,273,47
IL,33.734,0.28,0.3,0.4,274,47
MB,19.398,0.28,0.3,0.4,274,47
MF,66.868,0.28,0.3,0.4,274,47
IL,25.0408,0.1,0.2,0.4,275,43
MB,17.112,0.1,0.2,0.4,275,43
MF,77.8472,0.1,0.2,0.4,275,43
IL,35.3364,0.32,0.2,0.4,276,43
MB,18.946,0.32,0.2,0.4,276,43
MF,65.7176,0.32,0.2,0.4,276,43
IL,12.7368,0.24,0.1,0.4,277,46
MB,48.36,0.24,0.1,0.4,277,46
MF,58.9032,0.24,0.1,0.4,277,46
IL,19.6232,0.16,0.2,0.4,278,45
MB,15.14,0.16,0.2,0.4,278,45
MF,85.2368,0.16,0.2,0.4,278,45
IL,34.8192,0.88,0.2,0.4,279,43
MB,67.9468,0.88,0.2,0.4,279,43
MF,17.234,0.88,0.2,0.4,279,43
IL,12.1664,0.16,0.2,0.4,280,51
MB,8.6916,0.16,0.2,0.4,280,51
MF,99.142,0.16,0.2,0.4,280,51
IL,10.308358596795149,0.16,0.2,0.4,281,50
MB,27.9504,0.16,0.2,0.4,281,50
MF,82.5288,0.16,0.2,0.4,281,50
IL,22.416,0.1,0.2,0.4,282,42
MB,6.560038891589694,0.1,0.2,0.4,282,42
MF,92.1864,0.1,0.2,0.4,282,42
IL,63.3468,0.88,0.2,0.4,283,42
MB,25.8304,0.88,0.2,0.4,283,42
MF,30.8228,0.88,0.2,0.4,283,42
IL,25.7496,0.16,0.2,0.4,284,44
MB,12.0128,0.16,0.2,0.4,284,44
MF,82.2376,0.16,0.2,0.4,284,44
IL,11.532,0.24,0.1,0.4,285,47
MB,60.7588,0.24,0.1,0.4,285,47
MF,47.7092,0.24,0.1,0.4,285,47
IL,33.028,0.32,0.2,0.4,286,42
MB,24.5212,0.32,0.2,0.4,286,42
MF,62.4508,0.32,0.2,0.4,286,42
IL,40.9196,0.28,0.3,0.4,287,46
MB,17.9748,0.28,0.3,0.4,287,46
MF,61.1056,0.28,0.3,0.4,287,46
IL,37.0352,0.92,0.3,0.4,288,46
MB,61.8724,0.92,0.3,0.4,288,46
MF,21.0924,0.92,0.3,0.4,288,46
IL,18.565304487179485,0.62,0.1,0.4,289,47
MB,87.1944,0.62,0.1,0.4,289,47
MF,14.27,0.62,0.1,0.4,289,47
IL,49.0032,0.74,0.2,0.4,290,42
MB,54.3544,0.74,0.2,0.4,290,42
MF,16.6424,0.74,0.2,0.4,290,42
IL,31.3696,0.18,0.2,0.4,291,48
MB,37.7292,0.18,0.2,0.4,291,48
MF,50.9012,0.18,0.2,0.4,291,48
IL,7.9768,0.0,0.1,0.4,292,43
MB,36.5268,0.0,0.1,0.4,292,43
MF,75.4964,0.0,0.1,0.4,292,43
IL,50.3852,0.79,0.3,0.4,293,42
MB,54.6856,0.79,0.3,0.4,293,42
MF,16.305373525557012,0.79,0.3,0.4,293,42
IL,21.9416,0.15,0.3,0.4,294,48
MB,7.6208,0.15,0.3,0.4,294,48
MF,90.4376,0.15,0.3,0.4,294,48
IL,32.5992,0.25,0.2,0.4,295,46
MB,20.6496,0.25,0.2,0.4,295,46
MF,66.7512,0.25,0.2,0.4,295,46
IL,28.5328,0.17,0.1,0.4,296,45
MB,22.5784,0.17,0.1,0.4,296,45
MF,68.8888,0.17,0.1,0.4,296,45
IL,8.567189487070793,0.33,0.1,0.4,297,43
MB,83.7464,0.33,0.1,0.4,297,43
MF,28.1696,0.33,0.1,0.4,297,43
IL,8.420621931260229,0.89,0.1,0.4,298,43
MB,99.9088,0.89,0.1,0.4,298,43
MF,11.8592,0.89,0.1,0.4,298,43
IL,16.2856,0.17,0.1,0.4,299,51
MB,33.1324,0.17,0.1,0.4,299,51
MF,70.582,0.17,0.1,0.4,299,51
IL,36.7884,0.19,0.1,0.4,300,49
MB,18.9888,0.19,0.1,0.4,300,49
MF,64.2228,0.19,0.1,0.4,300,49
IL,23.1472,0.63,0.2,0.4,301,46
MB,65.3148,0.63,0.2,0.4,301,46
MF,31.538,0.63,0.2,0.4,301,46
IL,9.764315352697096,0.51,0.1,0.4,302,45
MB,93.3456,0.51,0.1,0.4,302,45
MF,17.2416,0.51,0.1,0.4,302,45
IL,16.5772,0.75,0.1,0.4,303,43
MB,89.0188,0.75,0.1,0.4,303,43
MF,14.404,0.75,0.1,0.4,303,43
IL,50.0432,0.85,0.3,0.4,304,42
MB,59.3068,0.85,0.3,0.4,304,42
MF,10.65,0.85,0.3,0.4,304,42
IL,42.3856,0.53,0.3,0.4,305,48
MB,13.1464,0.53,0.3,0.4,305,48
MF,64.468,0.53,0.3,0.4,305,48
IL,20.0916,0.51,0.1,0.4,306,51
MB,83.7772,0.51,0.1,0.4,306,51
MF,16.1312,0.51,0.1,0.4,306,51
IL,8.9808,0.04,0.1,0.4,307,43
MB,16.398,0.04,0.1,0.4,307,43
MF,94.6212,0.04,0.1,0.4,307,43
IL,22.886,0.12,0.2,0.4,308,46
MB,12.2556,0.12,0.2,0.4,308,46
MF,84.8584,0.12,0.2,0.4,308,46
IL,14.4012,0.68,0.1,0.4,309,49
MB,97.444,0.68,0.1,0.4,309,49
MF,8.1548,0.68,0.1,0.4,309,49
IL,70.8212,0.98,0.3,0.4,310,48
MB,37.36,0.98,0.3,0.4,310,48
MF,11.8188,0.98,0.3,0.4,310,48
IL,29.15,0.22,0.3,0.4,311,48
MB,31.0664,0.22,0.3,0.4,311,48
MF,59.7836,0.22,0.3,0.4,311,48
IL,10.2724,0.66,0.1,0.4,312,51
MB,88.9852,0.66,0.1,0.4,312,51
MF,20.7424,0.66,0.1,0.4,312,51
IL,74.746,0.96,0.3,0.4,313,50
MB,36.53,0.96,0.3,0.4,313,50
MF,9.183157894736842,0.96,0.3,0.4,313,50
IL,49.4116,0.64,0.3,0.4,314,48
MB,43.668,0.64,0.3,0.4,314,48
MF,26.9204,0.64,0.3,0.4,314,48
IL,61.0504,0.96,0.3,0.4,315,44
MB,54.5028,0.96,0.3,0.4,315,44
MF,4.777395788568973,0.96,0.3,0.4,315,44
IL,14.1904,0.08,0.3,0.4,316,42
MB,3.202492211838006,0.08,0.3,0.4,316,42
MF,102.9312,0.08,0.3,0.4,316,42
IL,45.6468,0.42,0.1,0.4,317,43
MB,35.9856,0.42,0.1,0.4,317,43
MF,38.3676,0.42,0.1,0.4,317,43
IL,69.168,0.54,0.2,0.4,318,46
MB,18.47689075630252,0.54,0.2,0.4,318,46
MF,33.242,0.54,0.2,0.4,318,46
IL,20.2304,0.94,0.1,0.4,319,49
MB,93.4612,0.94,0.1,0.4,319,49
MF,6.49814585908529,0.94,0.1,0.4,319,49
IL,12.1028,0.66,0.1,0.4,320,45
MB,98.5656,0.66,0.1,0.4,320,45
MF,9.3316,0.66,0.1,0.4,320,45
IL,47.586,0.59,0.3,0.4,321,46
MB,37.134,0.59,0.3,0.4,321,46
MF,35.28,0.59,0.3,0.4,321,46
IL,40.9288,0.69,0.2,0.4,322,48
MB,57.0204,0.69,0.2,0.4,322,48
MF,22.0508,0.69,0.2,0.4,322,48
IL,8.8576,0.05,0.2,0.4,323,42
MB,18.4964,0.05,0.2,0.4,323,42
MF,92.646,0.05,0.2,0.4,323,42
IL,27.6776,0.21,0.2,0.4,324,44
MB,19.3172,0.21,0.2,0.4,324,44
MF,73.0052,0.21,0.2,0.4,324,44
IL,14.7376,0.13,0.1,0.4,325,47
MB,39.2996,0.13,0.1,0.4,325,47
MF,65.9628,0.13,0.1,0.4,325,47
IL,22.7036,0.21,0.2,0.4,326,50
MB,21.6424,0.21,0.2,0.4,326,50
MF,75.654,0.21,0.2,0.4,326,50
IL,14.6544,0.43,0.2,0.4,327,42
MB,75.114,0.43,0.2,0.4,327,42
MF,30.2316,0.43,0.2,0.4,327,42
IL,33.2512,0.67,0.2,0.4,328,44
MB,76.7076,0.67,0.2,0.4,328,44
MF,10.0412,0.67,0.2,0.4,328,44
IL,31.652,0.95,0.2,0.4,329,48
MB,65.0616,0.95,0.2,0.4,329,48
MF,23.2864,0.95,0.2,0.4,329,48
IL,17.2828,0.55,0.1,0.4,330,47
MB,84.3996,0.55,0.1,0.4,330,47
MF,18.3176,0.55,0.1,0.4,330,47
IL,19.1812,0.67,0.2,0.4,331,50
MB,91.5464,0.67,0.2,0.4,331,50
MF,9.2724,0.67,0.2,0.4,331,50
IL,9.674959871589085,0.08,0.1,0.4,332,51
MB,46.1332,0.08,0.1,0.4,332,51
MF,64.2228,0.08,0.1,0.4,332,51
IL,35.1388,0.42,0.3,0.4,333,50
MB,13.2304,0.42,0.3,0.4,333,50
MF,71.6308,0.42,0.3,0.4,333,50
IL,21.1864,0.9,0.2,0.4,334,46
MB,79.396,0.9,0.2,0.4,334,46
MF,19.4176,0.9,0.2,0.4,334,46
IL,25.038,0.42,0.3,0.4,335,44
MB,15.1004,0.42,0.3,0.4,335,44
MF,79.8616,0.42,0.3,0.4,335,44
IL,56.7768,0.66,0.3,0.4,336,42
MB,52.7492,0.66,0.3,0.4,336,42
MF,10.474,0.66,0.3,0.4,336,42
IL,16.42,0.08,0.1,0.4,337,45
MB,19.7464,0.08,0.1,0.4,337,45
MF,83.8336,0.08,0.1,0.4,337,45
IL,12.7604,0.96,0.1,0.4,338,43
MB,100.7716,0.96,0.1,0.4,338,43
MF,6.570499796830557,0.96,0.1,0.4,338,43
IL,9.457108336689489,0.04,0.3,0.4,339,50
MB,8.2048,0.04,0.3,0.4,339,50
MF,102.4024,0.04,0.3,0.4,339,50
IL,5.902566158781075,0.06,0.1,0.4,340,49
MB,49.5692,0.06,0.1,0.4,340,49
MF,64.5424,0.06,0.1,0.4,340,49
IL,9.298648095043015,0.04,0.3,0.4,341,44
MB,10.244,0.04,0.3,0.4,341,44
MF,100.6768,0.04,0.3,0.4,341,44
IL,14.6984,0.8,0.1,0.4,342,47
MB,93.7848,0.8,0.1,0.4,342,47
MF,11.5168,0.8,0.1,0.4,342,47
IL,21.6312,0.97,0.2,0.4,343,42
MB,82.8676,0.97,0.2,0.4,343,42
MF,15.5012,0.97,0.2,0.4,343,42
IL,5.700691337942253,0.81,0.1,0.4,344,47
MB,110.8108,0.81,0.1,0.4,344,47
MF,3.616720516962843,0.81,0.1,0.4,344,47
IL,24.6976,0.41,0.2,0.4,345,48
MB,47.6376,0.41,0.2,0.4,345,48
MF,47.6648,0.41,0.2,0.4,345,48
IL,19.6908,0.09,0.2,0.4,346,44
MB,8.257731958762887,0.09,0.2,0.4,346,44
MF,92.2992,0.09,0.2,0.4,346,44
IL,65.752,0.71,0.3,0.4,347,46
MB,32.938,0.71,0.3,0.4,347,46
MF,21.31,0.71,0.3,0.4,347,46
IL,11.5456,0.09,0.2,0.4,348,50
MB,13.0096,0.09,0.2,0.4,348,50
MF,95.4448,0.09,0.2,0.4,348,50
IL,41.5336,0.37,0.3,0.4,349,46
MB,21.2116,0.37,0.3,0.4,349,46
MF,57.2548,0.37,0.3,0.4,349,46
IL,13.446,0.07,0.2,0.4,350,48
MB,8.234016887816647,0.07,0.2,0.4,350,48
MF,98.3628,0.07,0.2,0.4,350,48
IL,44.8432,0.4,0.3,0.4,351,46
MB,29.1876,0.4,0.3,0.4,351,46
MF,45.9692,0.4,0.3,0.4,351,46
IL,19.198,0.84,0.2,0.4,352,50
MB,92.7408,0.84,0.2,0.4,352,50
MF,8.0612,0.84,0.2,0.4,352,50
IL,63.8088,0.46,0.3,0.4,353,46
MB,23.5148,0.46,0.3,0.4,353,46
MF,32.6764,0.46,0.3,0.4,353,46
IL,25.7424,0.76,0.2,0.4,354,48
MB,64.2628,0.76,0.2,0.4,354,48
MF,29.9948,0.76,0.2,0.4,354,48
IL,22.346,0.84,0.2,0.4,355,44
MB,91.5224,0.84,0.2,0.4,355,44
MF,6.621598272138229,0.84,0.2,0.4,355,44
IL,37.8848,0.78,0.2,0.4,356,50
MB,70.1552,0.78,0.2,0.4,356,50
MF,11.96,0.78,0.2,0.4,356,50
IL,37.8748,0.78,0.2,0.4,357,44
MB,61.6724,0.78,0.2,0.4,357,44
MF,20.4528,0.78,0.2,0.4,357,44
IL,34.3196,0.3,0.2,0.4,358,48
MB,49.3024,0.3,0.2,0.4,358,48
MF,36.378,0.3,0.2,0.4,358,48
IL,34.5312,0.85,0.1,0.4,359,45
MB,78.2476,0.85,0.1,0.4,359,45
MF,7.2212,0.85,0.1,0.4,359,45
IL,11.502,0.77,0.1,0.4,360,49
MB,92.3004,0.77,0.1,0.4,360,49
MF,16.1976,0.77,0.1,0.4,360,49
IL,45.5788,0.51,0.3,0.4,361,42
MB,38.7388,0.51,0.3,0.4,361,42
MF,35.6824,0.51,0.3,0.4,361,42
IL,48.938,0.75,0.3,0.4,362,44
MB,30.65,0.75,0.3,0.4,362,44
MF,40.412,0.75,0.3,0.4,362,44
IL,38.4556,0.87,0.3,0.4,363,48
MB,75.4896,0.87,0.3,0.4,363,48
MF,6.076676033721397,0.87,0.3,0.4,363,48
IL,56.92,0.75,0.3,0.4,364,50
MB,37.2144,0.75,0.3,0.4,364,50
MF,25.8656,0.75,0.3,0.4,364,50
IL,23.0496,0.85,0.1,0.4,365,51
MB,82.9236,0.85,0.1,0.4,365,51
MF,14.0268,0.85,0.1,0.4,365,51
IL,65.202,0.89,0.3,0.4,366,44
MB,40.8364,0.89,0.3,0.4,366,44
MF,13.9616,0.89,0.3,0.4,366,44
IL,14.4652,0.17,0.3,0.4,367,42
MB,22.6784,0.17,0.3,0.4,367,42
MF,82.8564,0.17,0.3,0.4,367,42
IL,45.2172,0.33,0.3,0.4,368,44
MB,19.0016,0.33,0.3,0.4,368,44
MF,55.7812,0.33,0.3,0.4,368,44
IL,18.836,0.31,0.1,0.4,369,49
MB,58.1556,0.31,0.1,0.4,369,49
MF,43.0084,0.31,0.1,0.4,369,49
IL,13.576,0.79,0.1,0.4,370,45
MB,100.9416,0.79,0.1,0.4,370,45
MF,5.601144258275439,0.79,0.1,0.4,370,45
IL,12.0296,0.2,0.1,0.4,371,49
MB,47.3228,0.2,0.1,0.4,371,49
MF,60.6476,0.2,0.1,0.4,371,49
IL,8.8752,0.0,0.3,0.4,372,44
MB,7.9136,0.0,0.3,0.4,372,44
MF,103.2112,0.0,0.3,0.4,372,44
IL,5.1976,0.0,0.3,0.4,373,50
MB,6.5324,0.0,0.3,0.4,373,50
MF,108.27,0.0,0.3,0.4,373,50
IL,15.2876,0.79,0.1,0.4,374,51
MB,95.3252,0.79,0.1,0.4,374,51
MF,9.3872,0.79,0.1,0.4,374,51
IL,50.3452,0.89,0.3,0.4,375,50
MB,57.4608,0.89,0.3,0.4,375,50
MF,12.194,0.89,0.3,0.4,375,50
IL,42.0592,0.33,0.3,0.4,376,50
MB,19.6148,0.33,0.3,0.4,376,50
MF,58.326,0.33,0.3,0.4,376,50
IL,18.45,0.93,0.2,0.4,377,50
MB,94.5792,0.93,0.2,0.4,377,50
MF,7.711061946902655,0.93,0.2,0.4,377,50
IL,34.8808,0.29,0.2,0.4,378,50
MB,13.3656,0.29,0.2,0.4,378,50
MF,71.7536,0.29,0.2,0.4,378,50
IL,65.1184,0.51,0.3,0.4,379,46
MB,28.4532,0.51,0.3,0.4,379,46
MF,27.056101556101556,0.51,0.3,0.4,379,46
IL,56.5164,0.93,0.2,0.4,380,44
MB,44.8436,0.93,0.2,0.4,380,44
MF,18.64,0.93,0.2,0.4,380,44
IL,35.2344,0.61,0.2,0.4,381,48
MB,56.5736,0.61,0.2,0.4,381,48
MF,28.192,0.61,0.2,0.4,381,48
IL,31.55,0.29,0.2,0.4,382,44
MB,16.2644,0.29,0.2,0.4,382,44
MF,72.1856,0.29,0.2,0.4,382,44
IL,27.0508,0.27,0.2,0.4,383,48
MB,25.1004,0.27,0.2,0.4,383,48
MF,67.8488,0.27,0.2,0.4,383,48
IL,23.1132,0.17,0.3,0.4,384,46
MB,5.7444,0.17,0.3,0.4,384,46
MF,91.1424,0.17,0.3,0.4,384,46
IL,19.1044,0.28,0.1,0.4,385,45
MB,64.3172,0.28,0.1,0.4,385,45
MF,36.5784,0.28,0.1,0.4,385,45
IL,14.5016,0.92,0.1,0.4,386,45
MB,94.2928,0.92,0.1,0.4,386,45
MF,11.2056,0.92,0.1,0.4,386,45
IL,48.694,0.62,0.3,0.4,387,44
