strategy,count,delta,lambda,kappa,sim
MF,77.1404,0.9,0.9,0.6000000000000001,106
IL,48.5332,0.4,0.5,0.4,107
MB,13.8792,0.4,0.5,0.4,107
MF,57.5876,0.4,0.5,0.4,107
IL,12.0436,0.6000000000000001,0.2,0.7000000000000001,108
MB,37.146,0.6000000000000001,0.2,0.7000000000000001,108
MF,70.8104,0.6000000000000001,0.2,0.7000000000000001,108
IL,5.344605475040257,0.8,0.9,1.0,109
MB,3.8774038461538463,0.8,0.9,1.0,109
MF,110.8184,0.8,0.9,1.0,109
IL,110.8676,0.8,0.8,0.3,110
MB,4.297319587628866,0.8,0.8,0.3,110
MF,5.0,0.8,0.8,0.3,110
IL,4.028918692372171,1.0,0.0,0.9,111
MB,102.282,1.0,0.0,0.9,111
MF,13.8728,1.0,0.0,0.9,111
IL,19.274,0.1,0.1,0.30000000000000004,112
MB,65.906,0.1,0.1,0.30000000000000004,112
MF,34.82,0.1,0.1,0.30000000000000004,112
IL,7.225113589425857,0.2,0.1,0.9,113
MB,41.1848,0.2,0.1,0.9,113
MF,71.8184,0.2,0.1,0.9,113
IL,3.2288,0.7000000000000001,0.8,1.0,114
MB,4.567249085737505,0.7000000000000001,0.8,1.0,114
MF,112.2752,0.7000000000000001,0.8,1.0,114
IL,48.6452,0.2,0.9,0.30000000000000004,115
MB,3.709842351938645,0.2,0.9,0.30000000000000004,115
MF,67.872,0.2,0.9,0.30000000000000004,115
IL,2.713708046906591,0.0,1.0,1.0,116
MB,2.635655560363479,0.0,1.0,1.0,116
MF,114.8792,0.0,1.0,1.0,116
IL,8.092709650231773,0.1,0.7000000000000001,0.8,117
MB,5.97765136123527,0.1,0.7000000000000001,0.8,117
MF,106.434,0.1,0.7000000000000001,0.8,117
IL,7.8784,1.0,0.1,0.6000000000000001,118
MB,102.1376,1.0,0.1,0.6000000000000001,118
MF,9.984,1.0,0.1,0.6000000000000001,118
IL,74.8796,0.4,0.7000000000000001,0.4,119
MB,4.592681946119823,0.4,0.7000000000000001,0.4,119
MF,40.5516,0.4,0.7000000000000001,0.4,119
IL,9.1012,0.5,0.7000000000000001,0.7000000000000001,120
MB,3.0057067603160665,0.5,0.7000000000000001,0.7000000000000001,120
MF,108.16,0.5,0.7000000000000001,0.7000000000000001,120
IL,11.7532,0.6000000000000001,0.5,0.7000000000000001,121
MB,6.426,0.6000000000000001,0.5,0.7000000000000001,121
MF,101.8208,0.6000000000000001,0.5,0.7000000000000001,121
IL,3.7436,0.0,0.7000000000000001,0.7000000000000001,122
MB,3.6636904761904763,0.0,0.7000000000000001,0.7000000000000001,122
MF,112.8096,0.0,0.7000000000000001,0.7000000000000001,122
IL,10.156095551894563,0.7000000000000001,0.4,0.8,123
MB,7.2556,0.7000000000000001,0.4,0.8,123
MF,102.8808,0.7000000000000001,0.4,0.8,123
IL,61.3364,0.0,0.4,0.0,124
MB,8.011522633744857,0.0,0.4,0.0,124
MF,50.8764,0.0,0.4,0.0,124
IL,16.9124,0.0,0.1,0.2,125
MB,10.1384,0.0,0.1,0.2,125
MF,92.9492,0.0,0.1,0.2,125
IL,94.7476,0.6000000000000001,0.9,0.30000000000000004,126
MB,2.6711438474870017,0.6000000000000001,0.9,0.30000000000000004,126
MF,22.7864,0.6000000000000001,0.9,0.30000000000000004,126
IL,8.1376,0.8,0.30000000000000004,0.7000000000000001,127
MB,83.954,0.8,0.30000000000000004,0.7000000000000001,127
MF,27.9084,0.8,0.30000000000000004,0.7000000000000001,127
IL,14.7136,0.6000000000000001,0.5,0.9,128
MB,3.183960314179413,0.6000000000000001,0.5,0.9,128
MF,102.2056,0.6000000000000001,0.5,0.9,128
IL,4.038063715349607,0.4,0.30000000000000004,0.9,129
MB,11.36088379705401,0.4,0.30000000000000004,0.9,129
MF,104.9896,0.4,0.30000000000000004,0.9,129
IL,51.2952,0.8,0.8,0.6000000000000001,130
MB,6.8016,0.8,0.8,0.6000000000000001,130
MF,61.9032,0.8,0.8,0.6000000000000001,130
IL,6.3304,0.4,0.4,0.9,131
MB,7.520341741253051,0.4,0.4,0.9,131
MF,106.2756,0.4,0.4,0.9,131
IL,108.7208,0.9,0.7000000000000001,0.0,132
MB,4.675675675675675,0.9,0.7000000000000001,0.0,132
MF,7.222964509394572,0.9,0.7000000000000001,0.0,132
IL,3.3044871794871793,0.1,0.0,1.0,133
MB,61.2824,0.1,0.0,1.0,133
MF,55.4184,0.1,0.0,1.0,133
IL,16.6216,0.7000000000000001,0.0,0.30000000000000004,134
MB,92.266,0.7000000000000001,0.0,0.30000000000000004,134
MF,11.1124,0.7000000000000001,0.0,0.30000000000000004,134
IL,20.3124,1.0,0.2,0.5,135
MB,48.2992,1.0,0.2,0.5,135
MF,51.3884,1.0,0.2,0.5,135
IL,6.5328,0.7000000000000001,0.1,0.7000000000000001,136
MB,73.6636,0.7000000000000001,0.1,0.7000000000000001,136
MF,39.8036,0.7000000000000001,0.1,0.7000000000000001,136
IL,8.6996,0.9,0.5,0.9,137
MB,9.864,0.9,0.5,0.9,137
MF,101.4364,0.9,0.5,0.9,137
IL,44.4228,0.1,0.2,0.2,138
